shelter name,city,state,address,website,phone
Christian Mission Bargain Center Shelter and Services Elba,Enterprise,alabama,"342 North Court Street, Elba, AL 36323",,
Dale County Rescue Mission,Enterprise,alabama,"182 Martin St, Ozark, AL 36360",,
Christian Mission Bargain Center Shelter and Services Geneva,Enterprise,alabama,"801 East Town Avenue, Geneva, AL 36340",,
,Eufaula,alabama,",",,
Catholic Center of Concern,Fairfield,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Jimmie Hale Mission,Fairfield,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Foundry Ministries,Fairfield,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Aletheia House,Fairfield,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Hope House Residential Youth Shelter,Fairfield,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Bread and Roses Hospitality House,Fairfield,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Hannah Bethany Home - Womens Homeless Shelter,Fairfield,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
The Firehouse Shelter,Fairfield,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Brother Bryan Mission,Fairfield,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
Changed Lives Christian Center,Fairfield,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Fellowship House,Fairfield,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Pathways - For Women,Fairfield,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Birmingham PATH Center,Fairfield,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Bridge Ministries - Homeless Families with Children,Fairfield,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Salvation Army of Greater Birmingham Emergency Housing,Fairfield,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
First Light Women Childrens Shelter and Services,Fairfield,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
First Light,Fairfield,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
Jessies Place - Homeless Shelter for Women and Children,Fairfield,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
Jimmie Hale Mission Shelter - Shepura Mens Center,Fairfield,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Priority Veteran Birmingham,Fairfield,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Fairfield,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Community Kitchens of Birmingham,Fairfield,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Fairfield,alabama,"140 58th St N, Birmingham, AL 35212",,
YWCA Interfaith Hospitality House for Families,Fairfield,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
The Lovelady Center,Fairfield,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Clay Veterans Center,Fairfield,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Salvation Army Jasper AL,Fairfield,alabama,"207 20th Street East, Jasper, AL 35502",,205-221-7737
The Shoulder Rehab For Men,Fairhope,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
Family Promise of Baldwin County Homeless Services,Fairhope,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
McKemie Place,Fairhope,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Salvation Army Mobile - Dauphin Way Lodge,Fairhope,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
Salvation Army Foley Alabama,Fairhope,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
Waterfront Rescue Mission of Alabama,Fairhope,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Family Promise of Coastal Alabama Mobile,Fairhope,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Housing First The Homeless Coalition,Fairhope,alabama,"273 Azalea Rd, Bldg 3, Suite 110, Mobile, AL 36607",http://www.hfal.org/,
Taking it By Force Women's Weekend Shelter,Fairhope,alabama,"3801C St. Stephens Road, Mobile, AL 36612",,251-458-8478
Mary's Shelter Gulf Coast,Fairhope,alabama,"14001 Boros Rd, Elberta, AL 36530",,
Women In Crisis Homeless Shelter Inc.,Fairhope,alabama,"9030 Broadus Loop Rd., Eight Mile, AL 36613",,
Salvation Army Florence,Florence,alabama,"1601 Huntsville Road, Florence, AL 35630",http://salvationarmyalm.org/florence/services/,(256) 764-4432
Crossroads Community Outreach,Florence,alabama,"318 S. Court Street, Florence, AL 35630",https://www.crossroadsco.org/,
Sunrise Center,Florence,alabama,"2120 West 17th Street, Sheffield, AL 35660",,
Salvation Army Foley Alabama,Foley,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
Family Promise of Baldwin County Homeless Services,Foley,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
Mary's Shelter Gulf Coast,Foley,alabama,"14001 Boros Rd, Elberta, AL 36530",,
Victory House Ministries,Foley,alabama,"6200 West Fairfield Drive, Pensacola, FL 32506",,
The Shoulder Rehab For Men,Foley,alabama,"4901 Battleship Parkway, Spanish Fort, AL 36577",,
McKemie Place,Foley,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Salvation Army Mobile - Dauphin Way Lodge,Foley,alabama,"1009 Dauphin Street, Mobile, AL 38604",http://www.salvationarmymobile.org/,251-438-1625
Waterfront Rescue Mission of Alabama,Foley,alabama,"279A North Washington Ave, Mobile, AL 36603",https://mobilerescuemission.org/,888-853-8655
Family Promise of Coastal Alabama Mobile,Foley,alabama,"1260 Dauphin Street, Mobile, AL 36604",http://www.familypromisemobile.org/,
Hope Rebirth Homeless Shelter,Fort Payne,alabama,"50 Eleanor Rd., Summerville, GA 30747",,
Life Resource Services of Jackson County,Fort Payne,alabama,"304 South Andrews St, Scottsboro, AL 35768",https://liferesourceservic.wixsite.com/liferss,
Salvation Army of Greater Birmingham Emergency Housing,Fultondale,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Changed Lives Christian Center,Fultondale,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
The Lighthouse for Recovery Ministries,Fultondale,alabama,"140 58th St N, Birmingham, AL 35212",,
The Lovelady Center,Fultondale,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Community Kitchens of Birmingham,Fultondale,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
Aletheia House,Fultondale,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
YWCA Interfaith Hospitality House for Families,Fultondale,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Jessies Place - Homeless Shelter for Women and Children,Fultondale,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
First Light,Fultondale,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
First Light Women Childrens Shelter and Services,Fultondale,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Pathways - For Women,Fultondale,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Birmingham PATH Center,Fultondale,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Jimmie Hale Mission Shelter - Shepura Mens Center,Fultondale,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Hope House Residential Youth Shelter,Fultondale,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Priority Veteran Birmingham,Fultondale,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Brother Bryan Mission,Fultondale,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Fultondale,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Fultondale,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Jimmie Hale Mission,Fultondale,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Catholic Center of Concern,Fultondale,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Bridge Ministries - Homeless Families with Children,Fultondale,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Fellowship House,Fultondale,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Clay Veterans Center,Fultondale,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Bread and Roses Hospitality House,Fultondale,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Hannah Bethany Home - Womens Homeless Shelter,Fultondale,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Foundry Ministries,Fultondale,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
A House of Refuge,Fultondale,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
The Love Center,Gadsden,alabama,"915 S 12th Street, Gadsden, AL 35901",,
Thirteenth Place Youth Shelter,Gadsden,alabama,"405 South 12th Street, Gadsden, AL 35901",http://www.thirteenthplace.com/,256-547-8971
The Salvation Army Gadsden Homeless Shelter And Services,Gadsden,alabama,"114 North 11th Street, Gadsden, AL 35901",,256-546-4673
Big Oak Ranch Boys,Gadsden,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
Albertville Downtown Rescue Mission,Gadsden,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
Big Oak ranch Girls Facility,Gadsden,alabama,"6000 Shelley Drive, Springville, AL 35147",http://www.bigoak.org,(205) 467-6226
Salvation Army Domestic Violence and Womens Shelter,Gadsden,alabama,"PO Box 218, Anniston, AL 36202",,(256) 236-5644
Salvation Army Anniston  Emergency Services,Gadsden,alabama,"420 Noble Street, Anniston, AL 36201",,236-5644
Salvation Army of Greater Birmingham Emergency Housing,Gardendale,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Changed Lives Christian Center,Gardendale,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
The Lovelady Center,Gardendale,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Aletheia House,Gardendale,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
The Lighthouse for Recovery Ministries,Gardendale,alabama,"140 58th St N, Birmingham, AL 35212",,
Clay Veterans Center,Gardendale,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Community Kitchens of Birmingham,Gardendale,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
YWCA Interfaith Hospitality House for Families,Gardendale,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Jessies Place - Homeless Shelter for Women and Children,Gardendale,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
First Light,Gardendale,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
First Light Women Childrens Shelter and Services,Gardendale,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Pathways - For Women,Gardendale,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Birmingham PATH Center,Gardendale,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Jimmie Hale Mission Shelter - Shepura Mens Center,Gardendale,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Hope House Residential Youth Shelter,Gardendale,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Brother Bryan Mission,Gardendale,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Gardendale,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Priority Veteran Birmingham,Gardendale,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Gardendale,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Jimmie Hale Mission,Gardendale,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Catholic Center of Concern,Gardendale,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
Bridge Ministries - Homeless Families with Children,Gardendale,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Fellowship House,Gardendale,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Bread and Roses Hospitality House,Gardendale,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Hannah Bethany Home - Womens Homeless Shelter,Gardendale,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Foundry Ministries,Gardendale,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
A House of Refuge,Gardendale,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Christian Mission Bargain Center Shelter and Services Geneva,Geneva,alabama,"801 East Town Avenue, Geneva, AL 36340",,
Christian Mission Centers,Geneva,alabama,"307 North Main Street, Enterprise, AL 36330",http://www.christmissions.org/,
Ground Zero Rescue Mission,Geneva,alabama,"181 Geneva Hwy, Enterprise, AL 36330",,334-475-3220
Christian Mission Bargain Center Shelter and Services Elba,Geneva,alabama,"342 North Court Street, Elba, AL 36323",,
,Greenville,alabama,",",,
,Grove Hill,alabama,",",,
Salvation Army Foley Alabama,Gulf Shores,alabama,"620 N. McKenzie, Foley, AL 36535",,459-6125
Family Promise of Baldwin County Homeless Services,Gulf Shores,alabama,"15765 Hwy 59 North , C, Foley, AL 36535",,
Mary's Shelter Gulf Coast,Gulf Shores,alabama,"14001 Boros Rd, Elberta, AL 36530",,
McKemie Place,Gulf Shores,alabama,"913 Broad Street, Mobile, AL 36603",http://mckemieplace.org/,(251) 432-1122
Albertville Downtown Rescue Mission,Guntersville,alabama,"5850 US Hwy 431, Suite 36, Albertville, AL 35950",https://downtownrescuemission.org/,
Life Resource Services of Jackson County,Guntersville,alabama,"304 South Andrews St, Scottsboro, AL 35768",https://liferesourceservic.wixsite.com/liferss,
The Salvation Army Gadsden Homeless Shelter And Services,Guntersville,alabama,"114 North 11th Street, Gadsden, AL 35901",,256-546-4673
Thirteenth Place Youth Shelter,Guntersville,alabama,"405 South 12th Street, Gadsden, AL 35901",http://www.thirteenthplace.com/,256-547-8971
The Love Center,Guntersville,alabama,"915 S 12th Street, Gadsden, AL 35901",,
A House of Refuge,Guntersville,alabama,"285 Larocko Road, Oneonta, AL 35121",,205-274-4956
Downtown Rescue Mission,Guntersville,alabama,"1400 Evangel Drive, Huntsville, AL 35816",https://www.downtownrescuemission.org/,256-536-2441
The Salvation Army Huntsville Emergency Shelter and Lodge,Guntersville,alabama,"305 Seminole, Huntsville, AL 35805",http://salvationarmyalm.org/huntsville/,256-536-8876
Ground Zero Rescue Mission Phil Campbell,Haleyville,alabama,"3471 Broad Street, Phil Campbell, AL 35581",,
Salvation Army Jasper AL,Haleyville,alabama,"207 20th Street East, Jasper, AL 35502",,205-221-7737
Ground Zero Rescue Mission Phil Campbell,Hamilton,alabama,"3471 Broad Street, Phil Campbell, AL 35581",,
Alabama Baptist Children's Homes and Family Ministries,Heflin,alabama,"1210 Friendship Rd, Oxford, AL 36203",,
Salvation Army Anniston  Emergency Services,Heflin,alabama,"420 Noble Street, Anniston, AL 36201",,236-5644
Salvation Army Domestic Violence and Womens Shelter,Heflin,alabama,"PO Box 218, Anniston, AL 36202",,(256) 236-5644
Big Oak Ranch Boys,Heflin,alabama,"250 Jake Mintz Road, Gadsden, AL 35905",http://www.bigoak.org/,(256) 892-0773
Community Share Ministries - Men's Shelter,Heflin,alabama,"1116 North Main Street, Cedartown, GA 30125",https://www.helpcommunityshare.com/,(678) 634-4395
Hannah Bethany Home - Womens Homeless Shelter,Homewood,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Bread and Roses Hospitality House,Homewood,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Fellowship House,Homewood,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Bridge Ministries - Homeless Families with Children,Homewood,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Jimmie Hale Mission,Homewood,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Brother Bryan Mission,Homewood,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Homewood,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Hope House Residential Youth Shelter,Homewood,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Jimmie Hale Mission Shelter - Shepura Mens Center,Homewood,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Birmingham PATH Center,Homewood,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Pathways - For Women,Homewood,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
First Light Women Childrens Shelter and Services,Homewood,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Catholic Center of Concern,Homewood,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
First Light,Homewood,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
Jessies Place - Homeless Shelter for Women and Children,Homewood,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
Priority Veteran Birmingham,Homewood,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Aletheia House,Homewood,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Homewood,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Changed Lives Christian Center,Homewood,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Salvation Army of Greater Birmingham Emergency Housing,Homewood,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Community Kitchens of Birmingham,Homewood,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Homewood,alabama,"140 58th St N, Birmingham, AL 35212",,
YWCA Interfaith Hospitality House for Families,Homewood,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
The Lovelady Center,Homewood,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Foundry Ministries,Homewood,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Clay Veterans Center,Homewood,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Hannah Bethany Home - Womens Homeless Shelter,Hoover,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Bread and Roses Hospitality House,Hoover,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Fellowship House,Hoover,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Bridge Ministries - Homeless Families with Children,Hoover,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
Jimmie Hale Mission,Hoover,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Catholic Center of Concern,Hoover,alabama,"712 4th Court West, Birmingham, AL 35204",http://www.catholiccharitiesbhm.org/the-catholic-centers-of-concern.html,205-786-4388
The Firehouse Shelter,Hoover,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Brother Bryan Mission,Hoover,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
Foundry Ministries,Hoover,alabama,"1801 5th Ave N, Bessemer, AL 35020",http://www.foundryministries.com/,
Hope House Residential Youth Shelter,Hoover,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Jimmie Hale Mission Shelter - Shepura Mens Center,Hoover,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Priority Veteran Birmingham,Hoover,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Birmingham PATH Center,Hoover,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Pathways - For Women,Hoover,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
First Light Women Childrens Shelter and Services,Hoover,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
First Light,Hoover,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
Jessies Place - Homeless Shelter for Women and Children,Hoover,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Hoover,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
Aletheia House,Hoover,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
Changed Lives Christian Center,Hoover,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Salvation Army of Greater Birmingham Emergency Housing,Hoover,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Community Kitchens of Birmingham,Hoover,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
YWCA Interfaith Hospitality House for Families,Hoover,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
The Lighthouse for Recovery Ministries,Hoover,alabama,"140 58th St N, Birmingham, AL 35212",,
The Lovelady Center,Hoover,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Clay Veterans Center,Hoover,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Downtown Rescue Mission,Huntsville,alabama,"1400 Evangel Drive, Huntsville, AL 35816",https://www.downtownrescuemission.org/,256-536-2441
The Salvation Army Huntsville Emergency Shelter and Lodge,Huntsville,alabama,"305 Seminole, Huntsville, AL 35805",http://salvationarmyalm.org/huntsville/,256-536-8876
The Studio Shelter and Services,Huntsville,alabama,"1001 Oakwood Avenue, Huntsville, AL 35801",https://hmcpl.org/community/studio-shelter-and-services,256-489-8088
New Futures Family Lodge Huntsville,Huntsville,alabama,"5429 Oakwood Rd, Huntsville, AL 35806",,
Salvation Army Center of Hope Decatur,Huntsville,alabama,"114 14th St SW, Decatur, AL 35601",http://salvationarmyalm.org/decatur/center-of-hope/,256-353-2822
The Lovelady Center,Irondale,alabama,"7916 2nd Ave S, Birmingham, AL 35206",http://www.loveladycenter.org/,
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority,Irondale,alabama,"940 Montclair Road, Birmingham, AL 35213",http://www.jbsmha.com/,(205) 595-4555
YWCA Interfaith Hospitality House for Families,Irondale,alabama,"5916 1st Ave S, Birmingham, AL 35212",http://www.ywcabham.org/housing-families-experiencing-homelessness,(205) 591-4302
Community Kitchens of Birmingham,Irondale,alabama,"5712 1st Avenue North, Birmingham, AL 35212",http://thecommunitykitchens.org/services/,251-3521
The Lighthouse for Recovery Ministries,Irondale,alabama,"140 58th St N, Birmingham, AL 35212",,
Priority Veteran Birmingham,Irondale,alabama,"3600 8th Avenue South, Birmingham, AL 35222",http://priorityveteran.org/,866-460-3827
Jimmie Hale Mission Shelter - Shepura Mens Center,Irondale,alabama,"3420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com,(205) 324-2271
Jessies Place - Homeless Shelter for Women and Children,Irondale,alabama,"2305 5th Avenue North, Birmingham, AL 35203",https://jimmiehalemission.com,(205) 323-0170
Bridge Ministries - Homeless Families with Children,Irondale,alabama,"1016 19th Street South, Birmingham, AL 35205",http://www.bridgeministriesbham.org,(205) 930-0309
First Light,Irondale,alabama,"2230 Fourth Avenue, North Birmingham, AL 35203",https://www.firstlightshelter.org,205-323-4277
First Light Women Childrens Shelter and Services,Irondale,alabama,"2230 Fourth Avenue North, Birmingham, AL 35203",http://www.firstlightshelter.org/,
Birmingham PATH Center,Irondale,alabama,"409 21st Street N, Birmingham, AL 35203",http://www.pathwayshome.org/,205-322-6854
Pathways - For Women,Irondale,alabama,"409 Richard Arrington Jr. Blvd. N, Birmingham, AL 35203",,
Fellowship House,Irondale,alabama,"1625 12th Avenue South, Birmingham, AL 35205",,
Brother Bryan Mission,Irondale,alabama,"1616 2nd Avenue North, Birmingham, AL 35203",http://bbmission.com/,
The Firehouse Shelter,Irondale,alabama,"1501 Third Avenue North, Birmingham, AL 35202",http://www.firehouseshelter.com/,205-252-9571
Bread and Roses Hospitality House,Irondale,alabama,"1135 14th Avenue South, Birmingham, AL 35205",,
Hannah Bethany Home - Womens Homeless Shelter,Irondale,alabama,"1615 Cullom Street South, Birmingham, AL 35205",,930-0144
Clay Veterans Center,Irondale,alabama,"2124 Old Springville Road, Center Point, AL 35212",,
Hope House Residential Youth Shelter,Irondale,alabama,"1323 7th Avenue North, Birmingham, AL 35203",http://www.familyconnection-inc.org/,
Salvation Army of Greater Birmingham Emergency Housing,Irondale,alabama,"2015 26th Avenue North, Birmingham, AL 35234",http://salvationarmyalm.org/birmingham/,205-328-5656
Jimmie Hale Mission,Irondale,alabama,"420 2nd Avenue North, Birmingham, AL 35222",https://jimmiehalemission.com/,
Changed Lives Christian Center,Irondale,alabama,"1308 26th Ave N, Birmingham , AL 35204",,
Aletheia House,Irondale,alabama,"201 Finley Avenue West, Birmingham, AL 35201",http://www.specialkindofcaring.org/,
